Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.1262,167, ,
false,-1,0.0,0.1296,168, ,
false,-1,0.0,0.0833,168, ,
false,-1,0.0,0.0907,168, ,
false,-1,0.0,0.0713,168, ,
false,-1,0.0,0.1094,169, ,
false,-1,0.0,0.0962,169, ,
false,-1,0.0,0.0632,169, ,
false,-1,0.0,0.0673,169, ,
false,-1,0.0,0.1278,170, ,
false,-1,0.0,0.0864,170, ,
false,-1,0.0,0.1651,170, ,
false,-1,0.0,0.1275,170, ,
false,-1,0.0,0.133,171, ,
false,-1,0.0,0.0596,171, ,
false,-1,0.0,0.1825,171, ,
false,-1,0.0,0.0531,171, ,
false,-1,0.0,0.1426,172, ,
false,-1,0.0,0.1,172, ,
false,-1,0.0,0.1087,172, ,
false,-1,0.0,0.064,172, ,
false,-1,0.0,0.0793,173, ,
false,-1,0.0,0.0981,173, ,
false,-1,0.0,0.0552,173, ,
false,-1,0.0,0.062,173, ,
false,-1,0.0,0.0813,174, ,
false,-1,0.0,0.1033,174, ,
false,-1,0.0,0.1039,174, ,
false,-1,0.0,0.0875,174, ,
false,-1,0.0,0.0926,175, ,
false,-1,0.0,0.0618,175, ,
false,-1,0.0,0.1049,175, ,
false,-1,0.0,0.0989,175, ,
false,-1,0.0,0.1364,176, ,
false,-1,0.0,0.0747,176, ,
false,-1,0.0,0.0898,176, ,
false,-1,0.0,0.0949,176, ,
false,-1,0.0,0.0908,177, ,
false,-1,0.0,0.0714,177, ,
false,-1,0.0,0.1105,177, ,
false,-1,0.0,0.0926,177, ,
false,-1,0.0,0.0914,178, ,
false,-1,0.0,0.0691,178, ,
false,-1,0.0,0.1126,178, ,
false,-1,0.0,0.0757,178, ,
false,-1,0.0,0.1155,179, ,
false,-1,0.0,0.0978,179, ,
false,-1,0.0,0.1409,179, ,
false,-1,0.0,0.1336,179, ,
false,-1,0.0,0.0826,180, ,
false,-1,0.0,0.1035,180, ,
false,-1,0.0,0.0979,180, ,
false,-1,0.0,0.0782,180, ,
false,-1,0.0,0.0666,181, ,
false,-1,2.674272,0.3187,181, ,
false,-1,0.0,0.0709,181, ,
false,-1,0.0,0.0776,181, ,
false,-1,0.0,0.0957,182, ,
false,-1,0.0,0.0699,182, ,
false,-1,0.0,0.0851,182, ,
false,-1,0.0,0.1145,182, ,
