Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.0612,158, ,
false,-1,0.0,0.1075,159, ,
false,-1,0.0,0.0827,159, ,
false,-1,0.0,0.069,159, ,
false,-1,0.0,0.1002,159, ,
false,-1,0.0,0.0686,160, ,
false,-1,0.0,0.0791,160, ,
false,-1,0.0,0.0974,160, ,
false,-1,0.0,0.103,160, ,
false,-1,0.0,0.0678,161, ,
false,-1,0.0,0.1574,161, ,
false,-1,0.0,0.0692,161, ,
false,-1,0.0,0.1474,161, ,
false,-1,0.0,0.0676,162, ,
false,-1,0.0,0.0799,162, ,
false,-1,0.0,0.1102,162, ,
false,-1,0.0,0.1089,162, ,
false,-1,0.0,0.0852,163, ,
false,-1,0.0,0.1024,163, ,
false,-1,0.0,0.0645,163, ,
false,-1,0.0,0.0916,163, ,
false,-1,0.0,0.0806,164, ,
false,-1,0.0,0.0759,164, ,
false,-1,0.0,0.1411,164, ,
false,-1,0.0,0.0938,164, ,
false,-1,0.0,0.1041,165, ,
false,-1,0.0,0.1058,165, ,
false,-1,0.0,0.0435,165, ,
false,-1,0.0,0.0851,165, ,
false,-1,0.0,0.0631,166, ,
false,-1,0.0,0.0847,166, ,
false,-1,0.0,0.1134,166, ,
false,-1,0.0,0.0663,166, ,
false,-1,0.0,0.09,167, ,
false,-1,0.0,0.1029,167, ,
false,-1,0.0,0.0841,167, ,
false,-1,0.0,0.0642,167, ,
false,-1,0.0,0.1146,168, ,
false,-1,0.0,0.1154,168, ,
false,-1,0.0,0.0709,168, ,
false,-1,0.0,0.0648,168, ,
false,-1,0.0,0.115,169, ,
false,-1,0.0,0.1041,169, ,
false,-1,2.60916,0.1412,169, ,
false,-1,0.0,0.0935,169, ,
false,-1,0.0,0.1103,170, ,
false,-1,0.0,0.1146,170, ,
false,-1,0.0,0.0884,170, ,
false,-1,0.0,0.097,170, ,
false,-1,0.0,0.1549,171, ,
false,-1,0.0,0.0971,171, ,
false,-1,0.0,0.1014,171, ,
false,-1,0.0,0.0982,171, ,
false,-1,0.0,0.0509,172, ,
false,-1,0.0,0.0676,172, ,
false,-1,0.0,0.149,172, ,
false,-1,0.0,0.0833,172, ,
false,-1,0.0,0.0936,173, ,
false,-1,0.0,0.0792,173, ,
false,-1,0.0,0.0954,173, ,
false,-1,0.0,0.1068,173, ,
false,-1,0.0,0.0554,174, ,
false,-1,0.0,0.1405,174, ,
false,-1,0.0,0.0786,174, ,
false,-1,0.0,0.0754,174, ,
false,-1,0.0,0.0783,175, ,
false,-1,0.0,0.1089,175, ,
false,-1,0.0,0.1242,175, ,
false,-1,0.0,0.1298,175, ,
false,-1,2.673648,0.1587,176, ,
false,-1,0.0,0.071,176, ,
false,-1,0.0,0.0895,176, ,
false,-1,0.0,0.1189,176, ,
false,-1,0.0,0.1051,177, ,
false,-1,0.0,0.1478,177, ,
