Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,45,2.69244,0.262,120, ,
false,-1,0.0,0.1165,120, ,
true,49,0.0,0.2462,120, ,
true,38,0.0,0.1303,120, ,
true,44,0.0,0.0565,121, ,
true,54,0.0,0.0916,121, ,
true,54,0.0,0.0926,121, ,
true,51,0.0,0.1104,121, ,
true,46,2.69288,0.1529,122, ,
true,63,0.0,0.1505,122, ,
true,40,0.0,0.103,122, ,
true,61,0.0,0.0944,122, ,
false,-1,0.0,0.0903,123, ,
true,43,0.0,0.088,123, ,
true,56,0.0,0.1175,123, ,
true,60,0.0,0.1293,123, ,
true,58,0.0,0.1049,124, ,
true,53,0.0,0.0884,124, ,
true,46,0.0,0.0894,124, ,
true,59,2.693232,0.1439,124, ,
true,61,0.0,0.1071,125, ,
true,45,0.0,0.1438,125, ,
true,61,2.6936,0.1383,125, ,
true,49,2.6928,0.1825,125, ,
true,53,2.692456,0.2446,126, ,
true,49,0.0,0.1208,126, ,
false,-1,2.69308,0.3113,126, ,
true,45,0.0,0.3463,126, ,
true,52,2.693376,0.2722,127, ,
true,56,0.0,0.131,127, ,
true,60,0.0,0.2909,127, ,
true,59,2.693496,0.1842,127, ,
true,47,2.693256,0.2251,128, ,
true,45,0.0,0.1061,128, ,
true,44,0.0,0.1968,128, ,
true,57,2.693984,0.2206,128, ,
true,52,2.693056,0.3378,129, ,
false,-1,2.693384,1.3477,129, ,
true,41,2.690664,1.1445,129, ,
true,52,2.69372,0.5231,129, ,
true,55,2.692424,0.3638,130, ,
true,55,2.693088,1.066,130, ,
true,59,2.692704,0.5981,130, ,
true,54,2.693368,0.7629,130, ,
true,55,2.693456,0.6424,131, ,
true,59,2.694048,0.6818,131, ,
true,53,2.694016,1.2455,131, ,
true,41,2.693032,0.8178,131, ,
true,52,2.693888,1.4553,132, ,
true,51,2.69408,1.9303,132, ,
true,45,2.693168,0.4346,132, ,
false,-1,2.69416,0.7586,132, ,
true,48,2.68996,1.0202,133, ,
true,56,2.694496,0.725,133, ,
true,57,2.693512,3.7123,133, ,
true,46,2.693688,0.9807,133, ,
true,50,2.694408,0.6272,134, ,
true,53,2.693976,1.6921,134, ,
true,58,2.694416,0.8035,134, ,
true,57,2.694328,1.4938,134, ,
true,44,2.69492,0.5642,135, ,
true,53,2.694112,1.9345,135, ,
false,-1,2.694584,0.5614,135, ,
true,49,0.0,0.1444,135, ,
true,56,0.0,0.228,136, ,
