,Greedy Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
392,TRUE,23,7.393608,512.6847,, 
393,TRUE,61,7.435144,606.7996,, 
394,TRUE,46,7.382864,549.2503,, 
395,TRUE,24,7.034008,505.4121,, 
396,TRUE,43,7.392864,634.691,, 
397,TRUE,45,7.034856,529.3497,, 
398,TRUE,49,7.400064,618.4158,, 
399,TRUE,23,7.400352,679.6466,, 
400,TRUE,24,7.032152,518.5955,, 
401,TRUE,47,7.037224,534.9535,, 
402,TRUE,48,7.119872,609.6754,, 
403,TRUE,23,7.036776,503.4993,, 
404,TRUE,23,7.409152,506.9274,, 
405,TRUE,35,7.397256,568.6847,, 
406,TRUE,49,7.449272,547.2303,, 
407,TRUE,46,7.406104,499.8309,, 
408,TRUE,49,7.03692,424.7645,, 
409,TRUE,46,7.412472,559.3232,, 
410,TRUE,23,7.03644,548.9691,, 
411,TRUE,62,7.413184,567.3365,, 
412,TRUE,39,7.414896,570.4613,, 
413,TRUE,49,7.03836,445.1245,, 
414,TRUE,48,7.417288,630.1745,, 
415,TRUE,48,7.41556,609.6293,, 
416,TRUE,48,7.037664,491.2708,, 
417,TRUE,39,7.399568,671.2816,, 
418,TRUE,47,7.38952,678.3376,, 
419,TRUE,26,7.406272,749.1048,, 
420,TRUE,49,7.405152,530.2203,, 
421,TRUE,24,7.411552,613.8125,, 
422,TRUE,60,7.391976,623.1728,, 
423,TRUE,36,7.437704,546.8062,, 
424,TRUE,37,7.049632,445.8626,, 
425,TRUE,26,7.408576,725.769,, 
426,TRUE,47,7.427016,488.0651,, 
427,TRUE,48,7.413776,675.9662,, 
428,TRUE,23,7.420568,553.0688,, 
429,TRUE,36,7.132656,524.0254,, 
430,TRUE,48,7.235728,612.842,, 
431,TRUE,24,7.417768,599.9851,, 
432,TRUE,46,7.413848,497.9967,, 
433,TRUE,21,7.045896,555.0245,, 
434,TRUE,48,7.43608,571.2252,, 
435,TRUE,48,7.436672,557.4466,, 
436,TRUE,50,7.049648,569.0112,, 
437,TRUE,37,7.422856,570.4215,, 
438,TRUE,62,7.427264,748.0832,, 
439,TRUE,24,7.050768,507.8775,, 
440,TRUE,50,7.048864,545.1514,, 
441,TRUE,24,7.049008,675.1689,, 
442,TRUE,47,7.0506,690.5719,, 
