Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,53,2.758608,0.5109,145, ,
true,61,2.695264,0.2599,145, ,
true,62,2.694696,0.2277,146, ,
true,52,2.75836,0.3423,146, ,
true,43,2.69468,0.2885,146, ,
true,48,2.694696,0.223,146, ,
true,42,2.6948,0.2542,147, ,
true,56,2.695272,0.1827,147, ,
true,53,2.694552,0.5387,147, ,
true,51,2.69516,0.2881,147, ,
true,52,2.695408,0.2262,148, ,
true,46,2.695584,0.2102,148, ,
true,57,2.6956,0.3057,148, ,
true,47,2.695664,0.1745,148, ,
true,53,2.695632,0.3564,149, ,
true,48,0.0,0.1607,149, ,
true,39,2.696216,0.3957,149, ,
true,56,2.696336,0.2213,149, ,
false,-1,2.695776,0.2627,150, ,
true,56,2.692672,0.3253,150, ,
true,42,2.695536,0.3834,150, ,
true,45,0.0,0.452,150, ,
false,-1,2.695776,0.3772,151, ,
false,-1,2.629416,0.4385,151, ,
true,58,2.692552,0.3725,151, ,
true,48,0.0,0.1255,151, ,
true,55,2.696552,0.2744,152, ,
true,55,2.695712,0.3266,152, ,
true,52,2.696416,0.3271,152, ,
true,47,2.696296,0.2713,152, ,
true,43,2.69524,0.2383,153, ,
true,51,2.696016,0.194,153, ,
true,48,2.696056,0.3692,153, ,
true,52,2.696264,0.3065,153, ,
false,-1,2.696352,0.2542,154, ,
true,48,2.693104,0.1935,154, ,
true,44,2.69628,0.2153,154, ,
false,-1,2.696472,0.338,154, ,
true,58,2.692616,0.2159,155, ,
true,44,2.696536,0.3091,155, ,
true,60,2.697696,0.2924,155, ,
true,46,2.75916,0.3829,155, ,
false,-1,2.697104,0.2874,156, ,
true,41,2.69424,0.333,156, ,
true,56,2.697432,0.3039,156, ,
true,53,0.0,0.5308,156, ,
true,41,2.696992,0.2192,157, ,
true,47,0.0,0.1555,157, ,
true,55,2.761624,0.4893,157, ,
true,50,2.697016,0.2261,157, ,
true,51,2.69664,0.2448,158, ,
true,54,2.696664,0.3074,158, ,
true,51,2.696632,0.27,158, ,
true,48,2.697272,0.1812,158, ,
true,49,2.697176,0.1663,159, ,
false,-1,0.0,0.1198,159, ,
false,-1,2.630992,0.4934,159, ,
true,54,0.0,0.1037,159, ,
false,-1,2.69756,0.1698,160, ,
true,61,0.0,0.188,160, ,
true,45,2.698112,0.248,160, ,
true,49,0.0,0.3047,160, ,
true,61,2.761416,0.1889,161, ,
true,51,0.0,0.213,161, ,
true,44,0.0,0.1439,161, ,
true,58,0.0,0.1489,161, ,
true,50,0.0,0.1703,162, ,
true,50,0.0,0.0897,162, ,
true,43,2.698928,0.327,162, ,
true,53,2.698664,0.1778,162, ,
false,-1,2.697152,0.1869,163, ,
true,52,2.694048,0.2697,163, ,
true,66,2.69824,0.1586,163, ,
true,50,2.76036,0.2645,163, ,
true,49,0.0,0.1315,164, ,
true,47,0.0,0.1077,164, ,
true,61,0.0,0.1207,164, ,
true,47,0.0,0.0831,164, ,
true,49,2.762168,0.2108,165, ,
false,-1,2.697632,0.2553,165, ,
true,61,2.694944,0.2226,165, ,
true,61,2.762144,0.2714,165, ,
true,50,0.0,0.1267,166, ,
true,57,0.0,0.196,166, ,
true,50,0.0,0.1346,166, ,
true,57,2.762928,0.138,166, ,
true,46,2.762568,0.274,167, ,
true,39,0.0,0.1109,167, ,
true,49,2.762408,0.2605,167, ,
true,45,0.0,0.1798,167, ,
true,53,0.0,0.1678,168, ,
true,48,0.0,0.1641,168, ,
true,53,0.0,0.1553,168, ,
true,52,2.699752,0.1617,168, ,
true,48,2.698984,0.1949,169, ,
true,42,0.0,0.1449,169, ,
true,58,0.0,0.2573,169, ,
false,-1,0.0,0.1543,169, ,
true,56,2.697024,0.3875,170, ,
true,56,2.762176,0.1973,170, ,
false,-1,2.699472,0.6525,170, ,
true,61,0.0,0.1611,170, ,
true,61,0.0,0.2892,171, ,
true,57,0.0,0.1343,171, ,
false,-1,0.0,0.2139,171, ,
true,40,0.0,0.0997,171, ,
true,49,2.763888,0.2278,172, ,
true,56,2.763272,0.3696,172, ,
true,53,2.763728,0.1707,172, ,
true,56,0.0,0.0864,172, ,
true,42,0.0,0.1444,173, ,
true,53,2.763584,0.253,173, ,
true,39,0.0,0.1493,173, ,
true,40,2.7644,0.2642,173, ,
true,62,2.763472,0.2323,174, ,
true,58,0.0,0.0821,174, ,
true,42,0.0,0.1651,174, ,
true,52,2.763216,0.2144,174, ,
true,47,2.763064,0.2586,175, ,
true,51,0.0,0.1385,175, ,
true,48,0.0,0.1215,175, ,
true,55,0.0,0.1457,175, ,
true,48,2.764424,0.2204,176, ,
true,62,2.763816,0.3707,176, ,
true,52,0.0,0.1602,176, ,
true,57,2.764336,0.371,176, ,
true,38,0.0,0.1178,177, ,
true,63,2.765424,0.344,177, ,
true,54,0.0,0.1755,177, ,
true,46,2.764736,0.224,177, ,
true,53,2.764216,0.2004,178, ,
true,50,2.764384,0.264,178, ,
true,43,0.0,0.1423,178, ,
true,33,0.0,0.2107,178, ,
true,60,0.0,0.1554,179, ,
true,59,2.763856,0.2715,179, ,
false,-1,2.765208,0.2555,179, ,
true,53,0.0,0.1925,179, ,
true,49,0.0,0.1421,180, ,
true,58,2.765376,0.2223,180, ,
true,51,0.0,0.1182,180, ,
false,-1,0.0,0.2287,180, ,
true,51,2.69812,0.2662,181, ,
true,52,2.764488,0.2019,181, ,
false,-1,0.0,0.0994,181, ,
true,56,0.0,0.1716,181, ,
true,40,2.765016,0.2426,182, ,
true,61,2.76552,0.2842,182, ,
true,51,0.0,0.1248,182, ,
true,52,2.764632,0.2303,182, ,
true,38,2.764304,0.2316,183, ,
true,41,2.764936,0.2121,183, ,
true,58,0.0,0.2087,183, ,
true,51,2.764792,0.2417,183, ,
true,46,0.0,0.1869,184, ,
true,47,2.76564,0.3148,184, ,
true,43,0.0,0.1303,184, ,
true,51,2.765432,0.1819,184, ,
true,47,0.0,0.1471,185, ,
true,60,2.76608,0.2406,185, ,
true,55,2.76552,0.2582,185, ,
false,-1,2.764952,0.437,185, ,
true,56,2.69884,0.2998,186, ,
true,43,2.765288,0.3698,186, ,
true,54,0.0,0.2552,186, ,
true,52,0.0,0.1922,186, ,
true,49,2.76664,0.2811,187, ,
true,53,0.0,0.1678,187, ,
true,44,2.766232,0.2742,187, ,
true,57,2.765752,0.2355,187, ,
true,53,0.0,0.1632,188, ,
false,-1,2.70228,0.2828,188, ,
false,-1,2.699496,0.3011,188, ,
false,-1,2.699088,0.3188,188, ,
false,-1,2.697976,0.3309,189, ,
true,53,2.699528,0.3638,189, ,
true,55,2.765984,0.2928,189, ,
true,52,2.76576,0.2231,189, ,
true,51,2.766744,0.2911,190, ,
true,47,2.766272,0.2297,190, ,
true,45,2.765888,0.3095,190, ,
