,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
456,TRUE,42,3.803488,146.1622,, 
457,TRUE,40,3.803168,123.3606,, 
458,TRUE,25,3.84376,113.0593,, 
459,TRUE,28,3.804216,165.8107,, 
460,TRUE,27,3.808792,131.3563,, 
461,TRUE,49,3.844304,166.7778,, 
462,TRUE,46,3.8044,162.6464,, 
463,TRUE,52,3.804624,171.0324,, 
464,TRUE,58,3.844696,127.2322,, 
465,TRUE,46,3.845344,117.7866,, 
466,TRUE,49,3.808992,161.5411,, 
467,TRUE,41,3.845704,182.4309,, 
468,TRUE,43,3.809736,145.1114,, 
469,TRUE,48,3.845752,154.8875,, 
470,TRUE,37,3.805272,154.5559,, 
471,TRUE,45,3.846144,188.5642,, 
472,TRUE,44,3.846336,141.4967,, 
473,TRUE,44,3.846632,170.1841,, 
474,TRUE,41,3.84624,151.0963,, 
475,TRUE,56,3.806688,151.3315,, 
476,TRUE,25,3.84676,157.8536,, 
477,TRUE,41,3.846816,196.6978,, 
478,TRUE,47,3.847216,169.5841,, 
479,TRUE,62,3.847464,177.1498,, 
480,TRUE,46,3.847152,154.837,, 
481,TRUE,60,3.84788,160.0192,, 
482,TRUE,25,3.848176,170.0254,, 
483,TRUE,59,3.847888,144.8019,, 
484,TRUE,44,3.848464,179.9561,, 
485,TRUE,45,3.848504,202.9669,, 
486,TRUE,29,3.848208,199.2123,, 
487,TRUE,26,3.848152,138.8277,, 
488,TRUE,22,3.848568,164.3679,, 
489,TRUE,59,3.849424,190.7133,, 
490,TRUE,40,3.848672,179.5382,, 
491,TRUE,46,3.848992,180.4234,, 
492,TRUE,58,3.849984,166.658,, 
493,TRUE,45,3.849712,151.7118,, 
494,TRUE,42,3.849792,206.0442,, 
495,TRUE,44,3.849352,156.6522,, 
496,TRUE,44,3.915072,239.6418,, 
497,TRUE,23,3.850408,157.2238,, 
498,TRUE,23,3.85016,164.8523,, 
499,TRUE,22,3.85044,178.2336,, 
